utterance_1,utterance_2,utterance_3,utterance_4,label,original
"[2, 2118, 3005, 5448, 3, 5]","[2, 7419, 1372, 6244, 3, 6271, 6814, 1549, 3085, 3268, 155, 3109, 3585, 119, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 6271, 6814, 1992, 3548, 139, 7834, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]","[2, 5466, 6281, 5469, 5800, 6824, 4002, 3, 5]","[2, 2047, 123, 123, 123, 134, 3, 5601, 3899, 3097, 134, 3, 5585, 3131, 2935, 3118, 3, 6588, 3030, 5800, 2931, 134, 3, 5]","[2, 5460, 6158, 5628, 1250, 2939, 3111, 3, 5]",그냥 궁금한거 묯개랑 [SEP] 
"[2, 7419, 1372, 6244, 3, 6271, 6814, 1549, 3085, 3268, 155, 3109, 3585, 119, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 6271, 6814, 1992, 3548, 139, 7834, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]","[2, 5466, 6281, 5469, 5800, 6824, 4002, 3, 5]","[2, 2047, 123, 123, 123, 134, 3, 5601, 3899, 3097, 134, 3, 5585, 3131, 2935, 3118, 3, 6588, 3030, 5800, 2931, 134, 3, 5]","[2, 5460, 6158, 5628, 1250, 2939, 3111, 3, 5]","[2, 1088, 123, 123, 123, 134, 3, 5]",롸...? [SEP] 
"[2, 5466, 6281, 5469, 5800, 6824, 4002, 3, 5]","[2, 2047, 123, 123, 123, 134, 3, 5601, 3899, 3097, 134, 3, 5585, 3131, 2935, 3118, 3, 6588, 3030, 5800, 2931, 134, 3, 5]","[2, 5460, 6158, 5628, 1250, 2939, 3111, 3, 5]","[2, 1088, 123, 123, 123, 134, 3, 5]","[2, 6281, 5469, 1379, 3083, 3016, 3, 5]",긱사에서 봅세당 [SEP] 
"[2, 2047, 123, 123, 123, 134, 3, 5601, 3899, 3097, 134, 3, 5585, 3131, 2935, 3118, 3, 6588, 3030, 5800, 2931, 134, 3, 5]","[2, 5460, 6158, 5628, 1250, 2939, 3111, 3, 5]","[2, 1088, 123, 123, 123, 134, 3, 5]","[2, 6281, 5469, 1379, 3083, 3016, 3, 5]","[2, 5812, 1383, 2926, 2925, 3, 7893, 7332, 2934, 3049, 3151, 6040, 3, 5622, 555, 3563, 2992, 6063, 3, 173, 2977, 7301, 2934, 3052, 7130, 3049, 2972, 3173, 3003, 3058, 3381, 2973, 4461, 3120, 2958, 3117, 3, 5]",이따 봐여어 [SEP] 야야아야아야아우오아아아ㅏ [SEP] 문제 내노하아아아아아 [SEP] ㄴ마;ㅓㄴ아ㅜㄹㄴ우ㅐㅇ냐ㅓㅈㄷ냏푸ㅠㄴ [SEP] 
"[2, 5460, 6158, 5628, 1250, 2939, 3111, 3, 5]","[2, 1088, 123, 123, 123, 134, 3, 5]","[2, 6281, 5469, 1379, 3083, 3016, 3, 5]","[2, 5812, 1383, 2926, 2925, 3, 7893, 7332, 2934, 3049, 3151, 6040, 3, 5622, 555, 3563, 2992, 6063, 3, 173, 2977, 7301, 2934, 3052, 7130, 3049, 2972, 3173, 3003, 3058, 3381, 2973, 4461, 3120, 2958, 3117, 3, 5]","[2, 1792, 7291, 2589, 5970, 5694, 2967, 5930, 3, 5]",아 잠만 텍스트 파일에 있음 [SEP] 
"[2, 1088, 123, 123, 123, 134, 3, 5]","[2, 6281, 5469, 1379, 3083, 3016, 3, 5]","[2, 5812, 1383, 2926, 2925, 3, 7893, 7332, 2934, 3049, 3151, 6040, 3, 5622, 555, 3563, 2992, 6063, 3, 173, 2977, 7301, 2934, 3052, 7130, 3049, 2972, 3173, 3003, 3058, 3381, 2973, 4461, 3120, 2958, 3117, 3, 5]","[2, 1792, 7291, 2589, 5970, 5694, 2967, 5930, 3, 5]","[2, 5549, 5997, 2974, 7446, 3, 186, 6648, 5841, 3774, 3806, 3117, 3, 5]",얼른 디코로 주세요 [SEP] ㅁㅇㄴ;ㄴㅇ눙ㅍㄴ [SEP] 
"[2, 6281, 5469, 1379, 3083, 3016, 3, 5]","[2, 5812, 1383, 2926, 2925, 3, 7893, 7332, 2934, 3049, 3151, 6040, 3, 5622, 555, 3563, 2992, 6063, 3, 173, 2977, 7301, 2934, 3052, 7130, 3049, 2972, 3173, 3003, 3058, 3381, 2973, 4461, 3120, 2958, 3117, 3, 5]","[2, 1792, 7291, 2589, 5970, 5694, 2967, 5930, 3, 5]","[2, 5549, 5997, 2974, 7446, 3, 186, 6648, 5841, 3774, 3806, 3117, 3, 5]","[2, 1792, 6444, 6687, 3077, 123, 123, 123, 123, 1655, 3144, 123, 123, 123, 123, 123, 5550, 1166, 4073, 6656, 408, 3274, 3, 1792, 6443, 3253, 3, 1792, 5973, 3082, 3, 1855, 3010, 5775, 2987, 3, 5]",아 저장 안했다....슈발.....다시 만듬 좀만 기달 [SEP] 아 개빡쳐 [SEP] 아 미안해 [SEP] 언능 만들게 [SEP] 
"[2, 5812, 1383, 2926, 2925, 3, 7893, 7332, 2934, 3049, 3151, 6040, 3, 5622, 555, 3563, 2992, 6063, 3, 173, 2977, 7301, 2934, 3052, 7130, 3049, 2972, 3173, 3003, 3058, 3381, 2973, 4461, 3120, 2958, 3117, 3, 5]","[2, 1792, 7291, 2589, 5970, 5694, 2967, 5930, 3, 5]","[2, 5549, 5997, 2974, 7446, 3, 186, 6648, 5841, 3774, 3806, 3117, 3, 5]","[2, 1792, 6444, 6687, 3077, 123, 123, 123, 123, 1655, 3144, 123, 123, 123, 123, 123, 5550, 1166, 4073, 6656, 408, 3274, 3, 1792, 6443, 3253, 3, 1792, 5973, 3082, 3, 1855, 3010, 5775, 2987, 3, 5]","[2, 5822, 3097, 5855, 2999, 2182, 2976, 811, 2926, 119, 3, 5]",집가기 전에만 주면 돼여! [SEP] 
"[2, 1792, 7291, 2589, 5970, 5694, 2967, 5930, 3, 5]","[2, 5549, 5997, 2974, 7446, 3, 186, 6648, 5841, 3774, 3806, 3117, 3, 5]","[2, 1792, 6444, 6687, 3077, 123, 123, 123, 123, 1655, 3144, 123, 123, 123, 123, 123, 5550, 1166, 4073, 6656, 408, 3274, 3, 1792, 6443, 3253, 3, 1792, 5973, 3082, 3, 1855, 3010, 5775, 2987, 3, 5]","[2, 5822, 3097, 5855, 2999, 2182, 2976, 811, 2926, 119, 3, 5]","[2, 2764, 7766, 3, 5]",하 노력해볼게 [SEP] 
"[2, 5549, 5997, 2974, 7446, 3, 186, 6648, 5841, 3774, 3806, 3117, 3, 5]","[2, 1792, 6444, 6687, 3077, 123, 123, 123, 123, 1655, 3144, 123, 123, 123, 123, 123, 5550, 1166, 4073, 6656, 408, 3274, 3, 1792, 6443, 3253, 3, 1792, 5973, 3082, 3, 1855, 3010, 5775, 2987, 3, 5]","[2, 5822, 3097, 5855, 2999, 2182, 2976, 811, 2926, 119, 3, 5]","[2, 2764, 7766, 3, 5]","[2, 5633, 2976, 5466, 2118, 7211, 6068, 816, 3, 5]",안되면 오늘 전까지만 해도 됑 [SEP] 
"[2, 1792, 6444, 6687, 3077, 123, 123, 123, 123, 1655, 3144, 123, 123, 123, 123, 123, 5550, 1166, 4073, 6656, 408, 3274, 3, 1792, 6443, 3253, 3, 1792, 5973, 3082, 3, 1855, 3010, 5775, 2987, 3, 5]","[2, 5822, 3097, 5855, 2999, 2182, 2976, 811, 2926, 119, 3, 5]","[2, 2764, 7766, 3, 5]","[2, 5633, 2976, 5466, 2118, 7211, 6068, 816, 3, 5]","[2, 5615, 5742, 3118, 7532, 3030, 5605, 5745, 3, 5]",아니야아니ㅑ 최대한 빨리 해야지 [SEP] 
"[2, 5822, 3097, 5855, 2999, 2182, 2976, 811, 2926, 119, 3, 5]","[2, 2764, 7766, 3, 5]","[2, 5633, 2976, 5466, 2118, 7211, 6068, 816, 3, 5]","[2, 5615, 5742, 3118, 7532, 3030, 5605, 5745, 3, 5]","[2, 5464, 5448, 3, 5902, 5475, 6441, 5610, 2781, 2957, 3, 2723, 2923, 3005, 5510, 2976, 6441, 3, 5]",그래ㅋㅋㅋㅋ [SEP] 모르겠으면 물어보면서 해요 [SEP] 풀때도 모르면 물어보 [SEP] 
"[2, 2764, 7766, 3, 5]","[2, 5633, 2976, 5466, 2118, 7211, 6068, 816, 3, 5]","[2, 5615, 5742, 3118, 7532, 3030, 5605, 5745, 3, 5]","[2, 5464, 5448, 3, 5902, 5475, 6441, 5610, 2781, 2957, 3, 2723, 2923, 3005, 5510, 2976, 6441, 3, 5]","[2, 1792, 7275, 6401, 6939, 5732, 3, 2720, 5453, 2947, 6495, 6610, 3, 5]",아 아이디어가 생각이 안나 [SEP] 푸는거는 자신있는데 [SEP] 
"[2, 5633, 2976, 5466, 2118, 7211, 6068, 816, 3, 5]","[2, 5615, 5742, 3118, 7532, 3030, 5605, 5745, 3, 5]","[2, 5464, 5448, 3, 5902, 5475, 6441, 5610, 2781, 2957, 3, 2723, 2923, 3005, 5510, 2976, 6441, 3, 5]","[2, 1792, 7275, 6401, 6939, 5732, 3, 2720, 5453, 2947, 6495, 6610, 3, 5]","[2, 5661, 3114, 5580, 3, 5]",뭐가있을까 [SEP] 
"[2, 5615, 5742, 3118, 7532, 3030, 5605, 5745, 3, 5]","[2, 5464, 5448, 3, 5902, 5475, 6441, 5610, 2781, 2957, 3, 2723, 2923, 3005, 5510, 2976, 6441, 3, 5]","[2, 1792, 7275, 6401, 6939, 5732, 3, 2720, 5453, 2947, 6495, 6610, 3, 5]","[2, 5661, 3114, 5580, 3, 5]","[2, 2891, 3063, 123, 123, 123, 123, 123, 3, 5]",흐음..... [SEP] 
"[2, 5464, 5448, 3, 5902, 5475, 6441, 5610, 2781, 2957, 3, 2723, 2923, 3005, 5510, 2976, 6441, 3, 5]","[2, 1792, 7275, 6401, 6939, 5732, 3, 2720, 5453, 2947, 6495, 6610, 3, 5]","[2, 5661, 3114, 5580, 3, 5]","[2, 2891, 3063, 123, 123, 123, 123, 123, 3, 5]","[2, 124, 2965, 2069, 3268, 6061, 5502, 7883, 5499, 3, 878, 3452, 3189, 5519, 3, 2069, 3268, 3030, 231, 2970, 2543, 3772, 2967, 5934, 1333, 3102, 3772, 2414, 3268, 3, 6882, 1333, 3102, 3772, 5502, 5571, 764, 2069, 3268, 5499, 6444, 3, 5]",0을 입력할때까지 반복해서 [SEP] 딕셔너리고 [SEP] 입력한 값이 키값에 있으면 밸류값 출력 [SEP] 없으면 밸류값까지 한번 더 입력해서 저장 [SEP] 
"[2, 1792, 7275, 6401, 6939, 5732, 3, 2720, 5453, 2947, 6495, 6610, 3, 5]","[2, 5661, 3114, 5580, 3, 5]","[2, 2891, 3063, 123, 123, 123, 123, 123, 3, 5]","[2, 124, 2965, 2069, 3268, 6061, 5502, 7883, 5499, 3, 878, 3452, 3189, 5519, 3, 2069, 3268, 3030, 231, 2970, 2543, 3772, 2967, 5934, 1333, 3102, 3772, 2414, 3268, 3, 6882, 1333, 3102, 3772, 5502, 5571, 764, 2069, 3268, 5499, 6444, 3, 5]","[2, 5482, 5810, 5702, 6570, 5487, 558, 3188, 3, 5]",그거 만들어보고 성공하면 낼레 [SEP] 
"[2, 5661, 3114, 5580, 3, 5]","[2, 2891, 3063, 123, 123, 123, 123, 123, 3, 5]","[2, 124, 2965, 2069, 3268, 6061, 5502, 7883, 5499, 3, 878, 3452, 3189, 5519, 3, 2069, 3268, 3030, 231, 2970, 2543, 3772, 2967, 5934, 1333, 3102, 3772, 2414, 3268, 3, 6882, 1333, 3102, 3772, 5502, 5571, 764, 2069, 3268, 5499, 6444, 3, 5]","[2, 5482, 5810, 5702, 6570, 5487, 558, 3188, 3, 5]","[2, 165, 3437, 3105, 6800, 3286, 7618, 6542, 5889, 134, 3, 5]",while문 쓰면 되지 않을까? [SEP] 
"[2, 2891, 3063, 123, 123, 123, 123, 123, 3, 5]","[2, 124, 2965, 2069, 3268, 6061, 5502, 7883, 5499, 3, 878, 3452, 3189, 5519, 3, 2069, 3268, 3030, 231, 2970, 2543, 3772, 2967, 5934, 1333, 3102, 3772, 2414, 3268, 3, 6882, 1333, 3102, 3772, 5502, 5571, 764, 2069, 3268, 5499, 6444, 3, 5]","[2, 5482, 5810, 5702, 6570, 5487, 558, 3188, 3, 5]","[2, 165, 3437, 3105, 6800, 3286, 7618, 6542, 5889, 134, 3, 5]","[2, 1713, 6483, 6915, 3, 1970, 3428, 6345, 7496, 123, 123, 3, 6, 1831, 7631, 5458, 2723, 5484, 2723, 5524, 5613, 5622, 5810, 2950, 1372, 3386, 2987, 3, 6802, 5518, 271, 3306, 3016, 123, 123, 3, 5]",쌉가능이징 [SEP] 우웅 고마ㅜ어.. [SEP] 승우야 집가서 내가 풀어서 풀이랑 같이 문제 만들어서 보낼게 [SEP] 생각보다 많이 걸린당.. [SEP] 
"[2, 124, 2965, 2069, 3268, 6061, 5502, 7883, 5499, 3, 878, 3452, 3189, 5519, 3, 2069, 3268, 3030, 231, 2970, 2543, 3772, 2967, 5934, 1333, 3102, 3772, 2414, 3268, 3, 6882, 1333, 3102, 3772, 5502, 5571, 764, 2069, 3268, 5499, 6444, 3, 5]","[2, 5482, 5810, 5702, 6570, 5487, 558, 3188, 3, 5]","[2, 165, 3437, 3105, 6800, 3286, 7618, 6542, 5889, 134, 3, 5]","[2, 1713, 6483, 6915, 3, 1970, 3428, 6345, 7496, 123, 123, 3, 6, 1831, 7631, 5458, 2723, 5484, 2723, 5524, 5613, 5622, 5810, 2950, 1372, 3386, 2987, 3, 6802, 5518, 271, 3306, 3016, 123, 123, 3, 5]","[2, 5464, 5448, 3, 5585, 7012, 3, 5]",그래ㅋㅋㅋㅋ [SEP] 괜찮다니까 [SEP] 
"[2, 5482, 5810, 5702, 6570, 5487, 558, 3188, 3, 5]","[2, 165, 3437, 3105, 6800, 3286, 7618, 6542, 5889, 134, 3, 5]","[2, 1713, 6483, 6915, 3, 1970, 3428, 6345, 7496, 123, 123, 3, 6, 1831, 7631, 5458, 2723, 5484, 2723, 5524, 5613, 5622, 5810, 2950, 1372, 3386, 2987, 3, 6802, 5518, 271, 3306, 3016, 123, 123, 3, 5]","[2, 5464, 5448, 3, 5585, 7012, 3, 5]","[2, 1216, 3606, 123, 123, 123, 123, 123, 3, 5]",메옹..... [SEP] 
"[2, 165, 3437, 3105, 6800, 3286, 7618, 6542, 5889, 134, 3, 5]","[2, 1713, 6483, 6915, 3, 1970, 3428, 6345, 7496, 123, 123, 3, 6, 1831, 7631, 5458, 2723, 5484, 2723, 5524, 5613, 5622, 5810, 2950, 1372, 3386, 2987, 3, 6802, 5518, 271, 3306, 3016, 123, 123, 3, 5]","[2, 5464, 5448, 3, 5585, 7012, 3, 5]","[2, 1216, 3606, 123, 123, 123, 123, 123, 3, 5]","[2, 6317, 5588, 5620, 2781, 3151, 3097, 3, 5]",대신 공부 열심히 해오기 [SEP] 
"[2, 1713, 6483, 6915, 3, 1970, 3428, 6345, 7496, 123, 123, 3, 6, 1831, 7631, 5458, 2723, 5484, 2723, 5524, 5613, 5622, 5810, 2950, 1372, 3386, 2987, 3, 6802, 5518, 271, 3306, 3016, 123, 123, 3, 5]","[2, 5464, 5448, 3, 5585, 7012, 3, 5]","[2, 1216, 3606, 123, 123, 123, 123, 123, 3, 5]","[2, 6317, 5588, 5620, 2781, 3151, 3097, 3, 5]","[2, 5634, 5562, 2769, 6414, 692, 6261, 6249, 123, 123, 123, 123, 3, 1915, 3862, 2769, 3101, 3, 5]",그래도 너가 할 일이 늘어나니깐.... [SEP] 온농 할겡 [SEP] 
"[2, 5464, 5448, 3, 5585, 7012, 3, 5]","[2, 1216, 3606, 123, 123, 123, 123, 123, 3, 5]","[2, 6317, 5588, 5620, 2781, 3151, 3097, 3, 5]","[2, 5634, 5562, 2769, 6414, 692, 6261, 6249, 123, 123, 123, 123, 3, 1915, 3862, 2769, 3101, 3, 5]","[2, 692, 6261, 3247, 1797, 2932, 123, 123, 134, 3, 7897, 3563, 6040, 3, 5622, 5963, 3283, 3, 5]",늘어나진 않지..? [SEP] 우유노아아아아ㅏ [SEP] 문제에에ㅔ [SEP] 
"[2, 1216, 3606, 123, 123, 123, 123, 123, 3, 5]","[2, 6317, 5588, 5620, 2781, 3151, 3097, 3, 5]","[2, 5634, 5562, 2769, 6414, 692, 6261, 6249, 123, 123, 123, 123, 3, 1915, 3862, 2769, 3101, 3, 5]","[2, 692, 6261, 3247, 1797, 2932, 123, 123, 134, 3, 7897, 3563, 6040, 3, 5622, 5963, 3283, 3, 5]","[2, 5622, 7056, 3052, 6644, 5653, 3746, 134, 134, 3, 5562, 6926, 3270, 2921, 3, 5482, 2781, 3300, 3080, 2246, 3563, 2991, 3624, 2967, 2071, 5969, 3346, 2246, 3171, 5982, 5635, 6172, 3, 5573, 5458, 1169, 3067, 3159, 2946, 134, 134, 3, 1216, 3606, 123, 123, 123, 3, 5]",문제 2개ㅜ만들어야괘?? [SEP] 너가 도와준가 [SEP] 그거 해답은 집노트북에 있으니깐 집들가면 보내줄게 [SEP] 어제 내가 말안했나?? [SEP] 메옹... [SEP] 
"[2, 6317, 5588, 5620, 2781, 3151, 3097, 3, 5]","[2, 5634, 5562, 2769, 6414, 692, 6261, 6249, 123, 123, 123, 123, 3, 1915, 3862, 2769, 3101, 3, 5]","[2, 692, 6261, 3247, 1797, 2932, 123, 123, 134, 3, 7897, 3563, 6040, 3, 5622, 5963, 3283, 3, 5]","[2, 5622, 7056, 3052, 6644, 5653, 3746, 134, 134, 3, 5562, 6926, 3270, 2921, 3, 5482, 2781, 3300, 3080, 2246, 3563, 2991, 3624, 2967, 2071, 5969, 3346, 2246, 3171, 5982, 5635, 6172, 3, 5573, 5458, 1169, 3067, 3159, 2946, 134, 134, 3, 1216, 3606, 123, 123, 123, 3, 5]","[2, 5622, 5533, 2976, 818, 3088, 3, 5622, 2999, 5635, 3002, 3005, 811, 3, 5593, 5459, 5470, 2246, 5753, 2950, 3, 7077, 7220, 2931, 2064, 6332, 5481, 3, 5]",문제 하나면 되구 [SEP] 문제만 보내줘도 돼 [SEP] 사실 나도 지금 집 아니라서 [SEP] 9시 넘어야 일할듯ㅎㅎ [SEP] 
